label,threshold,precision,recall,f1,n_gold,n_pred
exaggeration_minimisation,0.5,2.2655796545791524,6.344595384604707,3.3388836241962663,466,1305
exaggeration_minimisation,0.55,2.2712306303927736,5.522112240847666,3.218642031563493,466,1133
exaggeration_minimisation,0.6,2.255889263450705,4.719939982541712,3.052730092802828,466,975
exaggeration_minimisation,0.65,2.2966343775389797,4.125070759656922,2.950549461243478,466,837
exaggeration_minimisation,0.7,2.266057224073977,3.530380997162462,2.760331450801522,466,726
exaggeration_minimisation,0.75,2.2968981168670495,3.0115981746904876,2.6061369533997536,466,611
exaggeration_minimisation,0.8,2.3119604244773524,2.5054506745945555,2.4048198030093983,466,505
exaggeration_minimisation,0.85,2.3488852016551545,2.132142575751353,2.2352720816650855,466,423
exaggeration_minimisation,0.9,2.4432228933323876,1.6515347884113778,1.970845611779007,466,315
exaggeration_minimisation,0.95,2.524169262620764,1.0995844641888735,1.5318575794081168,466,203
flag_waving,0.05,1.7018007662884522,36.889689973169766,3.2535101112481715,229,4964
flag_waving,0.1,1.728837404861805,22.95805479556659,3.2155318337521397,229,3041
flag_waving,0.15,1.768030626745535,17.502731139004926,3.211638967012923,229,2267
flag_waving,0.2,1.777620355197304,14.220962841578432,3.1602139647952074,229,1832
flag_waving,0.25,1.7453382315891321,11.554291524406656,3.032587689500429,229,1516
flag_waving,0.3,1.7541621818431063,10.18026873218117,2.9926592293574945,229,1329
flag_waving,0.35,1.7260255312197887,8.41154800367373,2.8643040785744005,229,1116
flag_waving,0.4,1.7465335329747218,7.5276357949609185,2.835244403036267,229,987
flag_waving,0.45,1.7201385941471274,6.48244369759376,2.718827118587859,229,863
flag_waving,0.5,1.7507491395575039,5.856217645856105,2.6956258108563778,229,766
flag_waving,0.55,1.7694070875645616,5.385487947740172,2.663664665296975,229,697
flag_waving,0.6,1.7719976433230953,4.828500128531054,2.5925592718255834,229,624
flag_waving,0.65,1.8285864831631635,4.4157568785555865,2.5862105503560855,229,553
flag_waving,0.7,1.8820211100354163,4.207837590996214,2.6007957040165537,229,512
flag_waving,0.75,1.9056808003274102,3.944509604171146,2.5698227577672617,229,474
flag_waving,0.8,1.8349603358751054,3.2692743102054282,2.3505928321414227,229,408
flag_waving,0.85,1.866110172809041,2.9988146008459697,2.3005981359923857,229,368
flag_waving,0.9,1.9866541403520805,2.6893571332277073,2.285205133614638,229,310
flag_waving,0.95,2.0660760587278126,2.201408551657582,2.1315964411398993,229,244
loaded_language,0.05,5.207735257865094,17.57334686167948,8.034503152222578,2123,7164
loaded_language,0.1,5.041027898526469,9.547797070171894,6.598298561189756,2123,4021
loaded_language,0.15,5.014039656112415,7.1254628556246615,5.886131378401228,2123,3017
loaded_language,0.2,4.941417716622079,5.718823989515049,5.301774379799323,2123,2457
loaded_language,0.25,4.924203218815536,4.924203218815536,4.924203218815536,2123,2123
loaded_language,0.3,4.940787663131234,4.433443475395666,4.673386543329196,2123,1905
loaded_language,0.35,4.950393752650427,4.013013494258778,4.4326886827842795,2123,1721
loaded_language,0.4,4.94459012087213,3.619356122390622,4.179435979241387,2123,1554
loaded_language,0.45,4.988120082577894,3.3340284489769343,3.9966924885251442,2123,1419
loaded_language,0.5,4.9388475759783805,3.0289117022721865,3.754966157035826,2123,1302
loaded_language,0.55,4.959696056531386,2.789390999292734,3.5706223041896137,2123,1194
loaded_language,0.6,4.944194270347371,2.566416432370609,3.378916022277707,2123,1102
loaded_language,0.65,4.892220012935413,2.3320427004666215,3.1584859030881263,2123,1012
loaded_language,0.7,4.8869735251077655,2.154595958314116,2.990655259562516,2123,936
loaded_language,0.75,4.915685731184059,1.9611803176226557,2.8037614911197966,2123,847
loaded_language,0.8,4.947468999239344,1.738488871141098,2.572890814522517,2123,746
loaded_language,0.85,4.95188009059372,1.5301146205508622,2.337843353313768,2123,656
loaded_language,0.9,4.988654585723878,1.2923975610683622,2.0529442739604438,2123,550
loaded_language,0.95,4.970168601899667,0.9013259122615978,1.525928956723582,2123,385
name_calling_labeling,0.05,2.541435052939185,25.34228715359962,4.619596796779532,1058,10550
name_calling_labeling,0.1,2.5195401450696084,13.023974530610293,4.222265988474242,1058,5469
name_calling_labeling,0.15,2.501871691927032,8.89843400446259,3.9056391523424274,1058,3763
name_calling_labeling,0.2,2.49520618507805,6.79931893344047,3.6506873542654237,1058,2883
name_calling_labeling,0.25,2.5129509885436536,5.63632579944621,3.476090175350679,1058,2373
name_calling_labeling,0.3,2.5140274427612797,4.697762055140879,3.2752766091196372,1058,1977
name_calling_labeling,0.35,2.5115707349797547,3.9406497354124697,3.067849462889178,1058,1660
name_calling_labeling,0.4,2.518704814723683,3.468575534075998,2.9182925765824304,1058,1457
name_calling_labeling,0.45,2.512689295618188,3.0731757547541925,2.7648128814030066,1058,1294
name_calling_labeling,0.5,2.5447723056980665,2.76846212084922,2.6519084869700995,1058,1151
name_calling_labeling,0.55,2.584019587432146,2.5278452485749257,2.5556237677900344,1058,1035
name_calling_labeling,0.6,2.5867400562235794,2.2615638487777043,2.413247152805659,1058,925
name_calling_labeling,0.65,2.6247814651535637,2.074023917644971,2.3171249259433786,1058,836
name_calling_labeling,0.7,2.6264729569486422,1.9040687693569078,2.207676447100941,1058,767
name_calling_labeling,0.75,2.636688569002831,1.6996423478827323,2.0669213839769323,1058,682
name_calling_labeling,0.8,2.7015349388133596,1.5397217089834174,1.9614997809806813,1058,603
name_calling_labeling,0.85,2.723992380211671,1.3748695000312214,1.827401923408332,1058,534
name_calling_labeling,0.9,2.69052504710689,1.1240189705304777,1.5856160944283273,1058,442
name_calling_labeling,0.95,2.780448643083901,0.9092960590803684,1.37042055627782,1058,346
repetition,0.05,1.2721252977633417,18.977405408179706,2.3844145186605155,621,9264
repetition,0.1,1.2680637038216294,14.514326580940647,2.3323578229432376,621,7108
repetition,0.15,1.268141582023178,11.909503552913325,2.292205704744824,621,5832
repetition,0.2,1.2643919847764988,9.980756053742992,2.2444503021453546,621,4902
repetition,0.25,1.2630797860619762,8.713419973413055,2.2063338648275255,621,4284
repetition,0.3,1.2616758365853955,7.714304591811186,2.1686659807672006,621,3797
repetition,0.35,1.2577082306752543,6.93055968658731,2.129051479283067,621,3422
repetition,0.4,1.2566356798236562,6.333767597178815,2.0971845789645664,621,3130
repetition,0.45,1.2644614463538222,5.756252027121184,2.073452731347016,621,2827
repetition,0.5,1.2727946716216194,5.29818715964877,2.0525104342744145,621,2585
repetition,0.55,1.2917463143179597,4.842488598602594,2.0394611188417837,621,2328
repetition,0.6,1.2956668520226309,4.358531487721861,1.9975262390223438,621,2089
repetition,0.65,1.3022857226861217,3.9299250311011145,1.9562993541593523,621,1874
repetition,0.7,1.2234861037064722,2.967101565510382,1.7325529592684035,621,1506
repetition,0.75,1.2407678553511483,2.615402774001052,1.6830726659633712,621,1309
repetition,0.8,1.2331839259625301,2.144667697326139,1.5659478424921016,621,1080
